;Park Name;Type;Location;Geo Local Area;Summer hours;Winter hours;Wheelchair access;Note;Geom;geo_point_2d
97;McBride Park;Park - Field House;Central, field house;Kitsilano;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.18014096216841, 49.26810696563152], ""type"": ""Point""}";49.26810696563152, -123.18014096216841
98;Moberly Park;Park - Field House;South west corner at Community Hall;Sunset;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.08735497868794, 49.2152529947934], ""type"": ""Point""}";49.2152529947934, -123.08735497868794
99;Montgomery Park;Park - Field House;North east corner;Oakridge;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.12924098629418, 49.23182604554475], ""type"": ""Point""}";49.23182604554475, -123.12924098629418
100;Nanaimo Park;Park - Field House;North side, fieldhouse;Victoria-Fraserview;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.05742904218603, 49.22824199783675], ""type"": ""Point""}";49.22824199783675, -123.05742904218603
101;Oak Park;Park - Field House;East side field house;Marpole;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.12764097866088, 49.21628599415058], ""type"": ""Point""}";49.21628599415058, -123.12764097866088
102;Oppenheimer Park;Park - Field House;North east corner;Strathcona;Tue - Sat 9:00 am - 8:00 pm;Tue - Sat 9:00 am - 5:00 pm;No;;"{""coordinates"": [-123.09382210202949, 49.28272631667144], ""type"": ""Point""}";49.28272631667144, -123.09382210202949
103;Pandora Park;Park - Field House;South side, fieldhouse;Grandview-Woodland;9:00 am - 7:00 pm;Closed;No;;"{""coordinates"": [-123.05747804862285, 49.28227999739962], ""type"": ""Point""}";49.28227999739962, -123.05747804862285
104;Quilchena Park;Park - Field House;North east corner, fieldhouse;Arbutus Ridge;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.14872394440481, 49.24464304772728], ""type"": ""Point""}";49.24464304772728, -123.14872394440481
105;Riverfront Park;Park - Public Washroom;North side;Killarney;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.0518469713802, 49.20576803638567], ""type"": ""Point""}";49.20576803638567, -123.0518469713802
106;Trafalgar Park;Park - Field House;North side, fieldhouse;Arbutus Ridge;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.16347197280247, 49.25155496544842], ""type"": ""Point""}";49.25155496544842, -123.16347197280247
107;Victoria Park;Park - Field House;West side;Grandview-Woodland;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.06741301627554, 49.27174404161449], ""type"": ""Point""}";49.27174404161449, -123.06741301627554
108;Winona Park;Park - Field House;Fieldhouse;Marpole;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.11294894481753, 49.21571797941276], ""type"": ""Point""}";49.21571797941276, -123.11294894481753
109;Woodland Park;Park - Field House;Central, field house;Grandview-Woodland;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.07322000486613, 49.27836897097232], ""type"": ""Point""}";49.27836897097232, -123.07322000486613
110;Britannia;Community Center;1661 Napier St;Grandview-Woodland;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.07065277917624, 49.27504267038552], ""type"": ""Point""}";49.27504267038552, -123.07065277917624
111;Carnegie Centre;Community Center;401 Main St;Downtown;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.1001272122058, 49.28105198363986], ""type"": ""Point""}";49.28105198363986, -123.1001272122058
112;Coal Harbour;Community Center;480 Broughton St;Downtown;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.12505292931658, 49.29029937889089], ""type"": ""Point""}";49.29029937889089, -123.12505292931658
113;Douglas Park;Community Center;801 W 22nd Av;South Cambie;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.1224846980371, 49.25211550271443], ""type"": ""Point""}";49.25211550271443, -123.1224846980371
114;Hastings;Community Center;3096 E Hastings St;Hastings-Sunrise;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.03930991502807, 49.28080523370132], ""type"": ""Point""}";49.28080523370132, -123.03930991502807
115;Hillcrest;Community Center;4575 Clancy Loranger Way;Riley Park;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.10801095525642, 49.24386283540143], ""type"": ""Point""}";49.24386283540143, -123.10801095525642
116;Kensington;Community Center;5175 Dumfries St;Kensington-Cedar Cottage;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.07466320602174, 49.237165754113256], ""type"": ""Point""}";49.237165754113256, -123.07466320602174
117;Kerrisdale;Community Center;5851 West Boulevard;Kerrisdale;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.15709290739301, 49.23318535416131], ""type"": ""Point""}";49.23318535416131, -123.15709290739301
118;Killarney;Community Center;6260 Killarney St;Killarney;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.04396930018117, 49.227036528643545], ""type"": ""Point""}";49.227036528643545, -123.04396930018117
119;Ray-Cam Co-Operative Center;Community Center;920 E Hastings St;Strathcona;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.0840893336462, 49.28073616037968], ""type"": ""Point""}";49.28073616037968, -123.0840893336462
